Name,Category
The Stillery,New American
Sixty Vines,New American
Puckett's Restaurant - Nashville,American
The Twelve Thirty Club,Cocktail Bars
5th & Taylor,New American
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings
etch,New American
Bourbon Steak by Michael Mina,Steakhouses
The Hampton Social - Nashville,New American
Skull's Rainbow Room,Cocktail Bars
Peg Leg Porker,Barbeque
Rolf and Daughters,New American
Husk,Southern
The Optimist - Nashville,Seafood
Milk and Honey Nashville,New American
The Southern Steak & Oyster,Southern
Martin's Bar-B-Que Joint,Barbeque
Pinewood Social,Social Clubs
Jeff Ruby's Steakhouse- Nashville,Seafood
Hawkers Asian Street Food,Tapas/Small Plates
Acme Feed & Seed,Bars
Adele's - Nashville,New American
Henrietta Red,New American
Blanco Cocina + Cantina,Cocktail Bars
Oak Steakhouse,Steakhouses
The Farm House,Southern
Stateside Kitchen,New American
Bakersfield Nashville,Tacos
Barcelona Wine Bar,Tapas Bars
The Row,Southern
The Catbird Seat,New American
The Mockingbird Nashville,New American
Deacon's New South,Steakhouses
Kayne Prime,Steakhouses
The Standard At The Smith House,American
The Chef and I,Tapas Bars
Germantown Cafe,New American
House of Cards,American
Bastion,Cocktail Bars
Butchertown Hall,Gastropubs
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop
Eddie V's Prime Seafood,Seafood
Butcher & Bee,New American
DeSano Pizza Bakery,Pizza
Sedona Taphouse,New American
O-Ku,Sushi Bars
Sambuca,Bars
Trattoria Il Mulino,Italian
The Pharmacy,Burgers
Hand Cut Chophouse,Steakhouses
