Name,Category
The Stillery,New American
Sixty Vines,New American
Puckett's Restaurant - Nashville,American
The Twelve Thirty Club,Cocktail Bars
5th & Taylor,New American
etch,New American
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings
Bourbon Steak by Michael Mina,Steakhouses
The Hampton Social - Nashville,New American
Skull's Rainbow Room,Cocktail Bars
Rolf and Daughters,New American
Peg Leg Porker,Barbeque
Milk and Honey Nashville,New American
Husk,Southern
The Optimist - Nashville,Seafood
The Southern Steak & Oyster,Southern
Pinewood Social,Social Clubs
Jeff Ruby's Steakhouse- Nashville,Seafood
Martin's Bar-B-Que Joint,Barbeque
Hawkers Asian Street Food,Tapas/Small Plates
Acme Feed & Seed,Bars
Adele's - Nashville,New American
Blanco Cocina + Cantina,Cocktail Bars
Henrietta Red,New American
Oak Steakhouse,Steakhouses
The Farm House,Southern
Bakersfield Nashville,Tacos
Stateside Kitchen,New American
Barcelona Wine Bar,Tapas Bars
The Row,Southern
The Mockingbird Nashville,New American
Deacon's New South,Steakhouses
The Catbird Seat,New American
The Standard At The Smith House,American
The Chef and I,Tapas Bars
Kayne Prime,Steakhouses
Germantown Cafe,New American
House of Cards,American
Bastion,Cocktail Bars
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop
Butchertown Hall,Gastropubs
Eddie V's Prime Seafood,Seafood
Butcher & Bee,New American
O-Ku,Sushi Bars
Sedona Taphouse,New American
DeSano Pizza Bakery,Pizza
Sambuca,Bars
Trattoria Il Mulino,Italian
The Pharmacy,Burgers
Hand Cut Chophouse,Steakhouses
