Name,Rating,Pricing,Number of Reviews
Milo Cafe,4.7,N/A,29
El Azteca Mexican Restaurant,3.4,1,21
Portland Pizza & Pub,4.3,N/A,26
Senor Fajitas,4.0,1,42
Tacos Mi Jalisco,4.8,N/A,17
5 Chefs,3.7,2,44
The Barbecue Pit,4.2,1,24
My Time Cafe,3.2,1,9
Bento Japanese Express,3.8,1,30
Colorado Grill,4.1,N/A,45
Mr Wok,3.2,1,32
Milli’s Taqueria,5.0,N/A,6
International Tea and Coffee,4.5,N/A,2
Cousins Maine Lobster - Nashville,3.7,2,190
Pizza Hut,2.7,1,19
Arby's,2.9,1,8
Neon Kitchen,3.1,N/A,8
Little Caesars,1.8,1,10
Burger King,3.4,1,7
McDonald's,1.4,1,23
Sonic Drive-In,1.8,1,12
Delaney's Street Eats,4.5,N/A,2
Sol Azteca Franklin,3.9,1,39
Brewster's Bar & Grille,3.0,1,23
Johnson's Crossroads Cafe & Market,4.4,N/A,18
Subway,2.2,1,5
Subway,5.0,1,2
Sol Azteca,3.8,1,17
Franklin Steakhouse,3.7,N/A,24
Hardee's,3.2,N/A,5
Domino's Pizza,2.3,1,11
Waffle House - Franklin,3.6,1,20
Cracker Barrel Old Country Store,2.8,2,54
Dairy Queen Grill & Chill,2.2,1,5
Vansauwa's Tacos,4.8,N/A,5
Papa Johns Pizza,2.2,1,6
Pupuseria Josellin,5.0,N/A,1
Denny's,2.4,1,35
Burger King,3.2,1,11
McDonald's,1.6,1,32
Jims Barbeque,5.0,N/A,1
Quiznos,1.2,N/A,6
Cantrell’s Grill,1.0,N/A,1
