Name,Rating,Pricing,Number of Reviews,Location,Category
The Stillery,4.4,,3425,Nashville,New American
Puckett's Restaurant - Nashville,3.9,,3291,Nashville,American
Sixty Vines,4.5,,945,Nashville,New American
The Twelve Thirty Club,4.3,,790,Nashville,Cocktail Bars
5th & Taylor,4.4,,1388,Nashville,New American
etch,4.5,,1700,Nashville,New American
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,,7283,Nashville,Chicken Wings
The Hampton Social - Nashville,4.3,,1472,Nashville,New American
Peg Leg Porker,4.3,,3493,Nashville,Barbeque
Bourbon Steak by Michael Mina,4.5,,765,Nashville,Steakhouses
Rolf and Daughters,4.3,,1019,Nashville,New American
Skull's Rainbow Room,4.5,,1332,Nashville,Cocktail Bars
Husk,4.0,,1815,Nashville,Southern
The Optimist - Nashville,4.5,,390,Nashville,Seafood
Acme Feed & Seed,3.9,,1946,Nashville,Bars
Jeff Ruby's Steakhouse- Nashville,4.5,,652,Nashville,Seafood
Hawkers Asian Street Food,4.4,,1066,Nashville,Tapas/Small Plates
Milk and Honey Nashville,4.2,,2723,Nashville,New American
Pinewood Social,4.1,,2215,Nashville,Social Clubs
Blanco Cocina + Cantina,4.5,,334,Nashville,Cocktail Bars
Martin's Bar-B-Que Joint,4.1,,3018,Nashville,Barbeque
Henrietta Red,4.3,,546,Nashville,New American
Adele's - Nashville,4.0,,1179,Nashville,New American
The Southern Steak & Oyster,4.1,,2543,Nashville,Southern
The Mockingbird Nashville,4.2,,690,Nashville,New American
Oak Steakhouse,4.4,,432,Nashville,Steakhouses
Bakersfield Nashville,4.5,,1428,Nashville,Tacos
Barcelona Wine Bar,4.5,,753,Nashville,Tapas Bars
The Farm House,4.1,,938,Nashville,Southern
The Row,3.9,,1746,Nashville,Southern
The Catbird Seat,4.6,,472,Nashville,New American
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,,815,Nashville,Chicken Shop
Deacon's New South,4.1,,343,Nashville,Steakhouses
The Chef and I,4.4,,599,Nashville,Tapas Bars
Kayne Prime,4.2,,1230,Nashville,Steakhouses
Germantown Cafe,4.1,,802,Nashville,New American
Butchertown Hall,3.8,,920,Nashville,Gastropubs
Eddie V's Prime Seafood,4.5,,333,Nashville,Seafood
Sedona Taphouse,4.4,,468,Nashville,New American
O-Ku,4.4,,391,Nashville,Sushi Bars
Ellington's Restaurant,3.9,,146,Nashville,Cocktail Bars
Sambuca,3.8,,801,Nashville,Bars
Trattoria Il Mulino,3.9,,454,Nashville,Italian
Stock & Barrel,4.5,,309,Nashville,Burgers
Stateside Kitchen,4.1,,323,Nashville,New American
Butcher & Bee,4.1,,1111,Nashville,New American
