Name,Category
GRAY'S On Main,Bars
Red Pony,American
Cork & Cow,Steakhouses
55 South - Franklin,Southern
O' Be Joyful,Burgers
Puckett's Grocery & Restaurant,Barbeque
Culaccino,Italian
JJ's Wine Bar,Wine Bars
McCreary's Irish Pub and Eatery,Irish Pub
Serrato's Steakhouse,Steakhouses
Franklin Chop House,New American
Frothy Monkey,Coffee & Tea
Pueblo Real Mexican Restaurant - Franklin,Bars
Mojo's Tacos,Tacos
Ground Restaurant,Burgers
Quinn's Neighbourhood Pub and Eatery,Pizza
Mellow Mushroom Franklin,Pizza
Chrysalis,Italian
1799 Kitchen & Cocktails,New American
BrickTop's,New American
Biscuit Love - Franklin,Breakfast & Brunch
Pasta and Cream,Italian
Ruby Sunshine,Breakfast & Brunch
The White Alligator,Seafood
Merridee's Breadbasket,Bakeries
Hop House Tennessee Taps,Beer Bar
Brixx Wood Fired Pizza + Craft Bar,Pizza
Sal's Family Pizza,Pizza
North Italia- Franklin,Italian
Tupelo Honey Southern Kitchen & Bar,Southern
Koi Sushi & Thai,Asian Fusion
Zolo's Italian Restaurant,Italian
Hogwood BBQ,Barbeque
Sperry's Restaurant,Steakhouses
Ground Restaurant - Cool Springs,American
J. Alexander's,New American
Stoney River,Steakhouses
Garcia's,Mexican
Franklin Mercantile Deli,Delis
Hattie B's Hot Chicken - Franklin,Chicken Shop
The Bunganut Pig Bar & Restaurant,Pubs
Pita Way - Cool Springs,Mediterranean
Connors Steak & Seafood,Seafood
Gina's Stonefired Italian & Pizzeria,Pizza
The Coffee House at Second and Bridge,Coffee & Tea
Big Shake's Hot Chicken & Fish,Chicken Shop
Sakura Japanese Restaurant,Japanese
Wild Ginger Restaurant,Asian Fusion
Taziki's Mediterranean Cafe - Franklin,Mediterranean
Ice Point Cafe,Bubble Tea
