Name,Category,Pricing
GRAY'S On Main,Bars,N/A
Red Pony,American,N/A
Cork & Cow,Steakhouses,N/A
55 South - Franklin,Southern,N/A
Puckett's Grocery & Restaurant,Barbeque,N/A
O' Be Joyful,Burgers,N/A
JJ's Wine Bar,Wine Bars,N/A
Culaccino,Italian,N/A
McCreary's Irish Pub and Eatery,Irish Pub,N/A
Serrato's Steakhouse,Steakhouses,N/A
Pueblo Real Mexican Restaurant - Franklin,Bars,N/A
Franklin Chop House,New American,N/A
Mojo's Tacos,Tacos,N/A
Mellow Mushroom Franklin,Pizza,N/A
Quinn's Neighbourhood Pub and Eatery,Pizza,N/A
Ground Restaurant,Burgers,N/A
Frothy Monkey,Coffee & Tea,N/A
Chrysalis,Italian,N/A
BrickTop's,New American,N/A
Pasta and Cream,Italian,N/A
Hop House Tennessee Taps,Beer Bar,N/A
The White Alligator,Seafood,N/A
Brixx Wood Fired Pizza + Craft Bar,Pizza,N/A
1799 Kitchen & Cocktails,New American,N/A
Sal's Family Pizza,Pizza,N/A
Tupelo Honey Southern Kitchen & Bar,Southern,N/A
Ruby Sunshine,Breakfast & Brunch,N/A
North Italia- Franklin,Italian,N/A
Koi Sushi & Thai,Asian Fusion,N/A
Biscuit Love - Franklin,Breakfast & Brunch,N/A
Hogwood BBQ,Barbeque,N/A
Merridee's Breadbasket,Bakeries,N/A
Sperry's Restaurant,Steakhouses,N/A
Zolo's Italian Restaurant,Italian,N/A
Ground Restaurant - Cool Springs,American,N/A
J. Alexander's,New American,N/A
Stoney River,Steakhouses,N/A
Perry's Steakhouse & Grille - Cool Springs,Steakhouses,N/A
Garcia's,Mexican,N/A
Wild Ginger Restaurant,Asian Fusion,N/A
Hattie B's Hot Chicken - Franklin,Chicken Shop,N/A
Mi Kitchen,Tapas Bars,N/A
Big Shake's Hot Chicken & Fish,Chicken Shop,N/A
Connors Steak & Seafood,Seafood,N/A
Gina's Stonefired Italian & Pizzeria,Pizza,N/A
Party Fowl - Cool Springs,Southern,N/A
Pita Way - Cool Springs,Mediterranean,N/A
Sopapilla's,Mexican,N/A
Franklin Mercantile Deli,Delis,N/A
Sakura Japanese Restaurant,Japanese,N/A
