Name,Rating,Pricing,Number of Reviews
GRAY'S On Main,3.7,N/A,683
Red Pony,4.4,N/A,552
Cork & Cow,4.3,N/A,323
55 South - Franklin,4.2,N/A,760
Puckett's Grocery & Restaurant,4.2,N/A,1119
O' Be Joyful,4.1,N/A,119
JJ's Wine Bar,4.0,N/A,154
Culaccino,4.2,N/A,272
McCreary's Irish Pub and Eatery,3.9,N/A,200
Serrato's Steakhouse,4.6,N/A,190
Pueblo Real Mexican Restaurant - Franklin,4.3,N/A,367
Franklin Chop House,3.9,N/A,182
Mojo's Tacos,4.1,N/A,383
Mellow Mushroom Franklin,3.5,N/A,359
Quinn's Neighbourhood Pub and Eatery,4.0,N/A,271
Ground Restaurant,4.3,N/A,157
Frothy Monkey,4.0,N/A,552
Chrysalis,4.5,N/A,369
BrickTop's,4.0,N/A,328
Pasta and Cream,4.6,N/A,378
Hop House Tennessee Taps,4.5,N/A,63
The White Alligator,4.5,N/A,41
Brixx Wood Fired Pizza + Craft Bar,4.0,N/A,271
1799 Kitchen & Cocktails,3.7,N/A,80
Sal's Family Pizza,3.8,N/A,212
Tupelo Honey Southern Kitchen & Bar,4.0,N/A,1247
Ruby Sunshine,4.0,N/A,534
North Italia- Franklin,4.1,N/A,242
Koi Sushi & Thai,4.0,N/A,219
Biscuit Love - Franklin,4.0,N/A,574
Hogwood BBQ,4.3,N/A,454
Merridee's Breadbasket,4.1,N/A,433
Sperry's Restaurant,4.1,N/A,406
Zolo's Italian Restaurant,3.3,N/A,155
Ground Restaurant - Cool Springs,4.4,N/A,487
J. Alexander's,4.0,N/A,400
Stoney River,4.0,N/A,345
Perry's Steakhouse & Grille - Cool Springs,3.8,N/A,259
Garcia's,3.9,N/A,198
Wild Ginger Restaurant,4.1,N/A,543
Hattie B's Hot Chicken - Franklin,4.4,N/A,31
Mi Kitchen,4.8,N/A,138
Big Shake's Hot Chicken & Fish,4.0,N/A,502
Connors Steak & Seafood,3.9,N/A,377
Gina's Stonefired Italian & Pizzeria,3.8,N/A,168
Party Fowl - Cool Springs,4.1,N/A,385
Pita Way - Cool Springs,4.8,N/A,120
Sopapilla's,3.9,N/A,800
Franklin Mercantile Deli,3.7,N/A,147
Sakura Japanese Restaurant,3.9,N/A,87
