Name,Rating,Pricing,Number of Reviews
The Stillery,4.4,N/A,3425
Puckett's Restaurant - Nashville,3.9,N/A,3291
Sixty Vines,4.5,N/A,945
The Twelve Thirty Club,4.3,N/A,790
5th & Taylor,4.4,N/A,1388
etch,4.5,N/A,1700
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,N/A,7283
The Hampton Social - Nashville,4.3,N/A,1472
Peg Leg Porker,4.3,N/A,3493
Bourbon Steak by Michael Mina,4.5,N/A,765
Rolf and Daughters,4.3,N/A,1019
Skull's Rainbow Room,4.5,N/A,1332
Husk,4.0,N/A,1815
The Optimist - Nashville,4.5,N/A,390
Acme Feed & Seed,3.9,N/A,1946
Jeff Ruby's Steakhouse- Nashville,4.5,N/A,652
Hawkers Asian Street Food,4.4,N/A,1066
Milk and Honey Nashville,4.2,N/A,2723
Pinewood Social,4.1,N/A,2215
Blanco Cocina + Cantina,4.5,N/A,334
Martin's Bar-B-Que Joint,4.1,N/A,3018
Henrietta Red,4.3,N/A,546
Adele's - Nashville,4.0,N/A,1179
The Southern Steak & Oyster,4.1,N/A,2543
The Mockingbird Nashville,4.2,N/A,690
Oak Steakhouse,4.4,N/A,432
Bakersfield Nashville,4.5,N/A,1428
Barcelona Wine Bar,4.5,N/A,753
The Farm House,4.1,N/A,938
The Row,3.9,N/A,1746
The Catbird Seat,4.6,N/A,472
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,N/A,815
Deacon's New South,4.1,N/A,343
The Chef and I,4.4,N/A,599
Kayne Prime,4.2,N/A,1230
Germantown Cafe,4.1,N/A,802
Butchertown Hall,3.8,N/A,920
Eddie V's Prime Seafood,4.5,N/A,333
Sedona Taphouse,4.4,N/A,468
O-Ku,4.4,N/A,391
Ellington's Restaurant,3.9,N/A,146
Sambuca,3.8,N/A,801
Trattoria Il Mulino,3.9,N/A,454
Stock & Barrel,4.5,N/A,309
Stateside Kitchen,4.1,N/A,323
Butcher & Bee,4.1,N/A,1111
Superica,4.4,N/A,300
Bastion,4.5,N/A,252
DeSano Pizza Bakery,4.3,N/A,1157
Black Rabbit,4.1,N/A,245
