Name,Rating,Pricing,Number of Reviews
Milo Cafe,4.7,N/A,29
El Azteca Mexican Restaurant,3.4,N/A,21
Tacos Mi Jalisco,4.8,N/A,17
Portland Pizza & Pub,4.4,N/A,27
Senor Fajitas,4.0,N/A,42
The Barbecue Pit,4.2,N/A,24
5 Chefs,3.7,N/A,44
My Time Cafe,3.2,N/A,9
Bento Japanese Express,3.8,N/A,30
Colorado Grill,4.1,N/A,45
Mr Wok,3.2,N/A,32
Milli’s Taqueria,5.0,N/A,6
International Tea and Coffee,4.5,N/A,2
Cousins Maine Lobster - Nashville,3.7,N/A,190
Pizza Hut,2.7,N/A,19
Arby's,2.9,N/A,8
Neon Kitchen,3.1,N/A,8
Little Caesars,1.8,N/A,10
Burger King,3.4,N/A,7
Sonic Drive-In,1.8,N/A,12
Sol Azteca Franklin,3.9,N/A,39
McDonald's,1.4,N/A,23
Brewster's Bar & Grille,3.1,N/A,22
Delaney's Street Eats,4.5,N/A,2
Johnson's Crossroads Cafe & Market,4.4,N/A,18
Subway,2.2,N/A,5
Franklin Steakhouse,3.7,N/A,24
Sol Azteca,3.8,N/A,17
Subway,5.0,N/A,2
Hardee's,3.2,N/A,5
Domino's Pizza,2.3,N/A,11
Pupuseria Josellin,5.0,N/A,1
Waffle House - Franklin,3.6,N/A,20
Vansauwa's Tacos,4.8,N/A,5
Cracker Barrel Old Country Store,2.8,N/A,54
Dairy Queen Grill & Chill,2.2,N/A,5
Denny's,2.4,N/A,35
Papa Johns Pizza,2.2,N/A,6
Burger King,3.2,N/A,11
McDonald's,1.6,N/A,32
Jims Barbeque,5.0,N/A,1
Quiznos,1.2,N/A,6
Cantrell’s Grill,1.0,N/A,1
