Name,Rating,Pricing,Number of Reviews,Location,Category
The Stillery,4.4,2.0,3424,Nashville,New American
Sixty Vines,4.5,2.0,945,Nashville,New American
Puckett's Restaurant - Nashville,3.9,2.0,3290,Nashville,American
etch,4.5,3.0,1699,Nashville,New American
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,2.0,7284,Nashville,Chicken Wings
5th & Taylor,4.4,3.0,1388,Nashville,New American
Bourbon Steak by Michael Mina,4.5,4.0,765,Nashville,Steakhouses
Skull's Rainbow Room,4.5,3.0,1331,Nashville,Cocktail Bars
The Hampton Social - Nashville,4.3,2.0,1472,Nashville,New American
Rolf and Daughters,4.3,3.0,1018,Nashville,New American
Peg Leg Porker,4.3,2.0,3492,Nashville,Barbeque
Milk and Honey Nashville,4.2,2.0,2719,Nashville,New American
Husk,4.0,3.0,1816,Nashville,Southern
The Southern Steak & Oyster,4.1,3.0,2544,Nashville,Southern
The Optimist - Nashville,4.5,3.0,389,Nashville,Seafood
Jeff Ruby's Steakhouse- Nashville,4.5,4.0,652,Nashville,Seafood
Hawkers Asian Street Food,4.4,2.0,1064,Nashville,Tapas/Small Plates
Martin's Bar-B-Que Joint,4.1,2.0,3014,Nashville,Barbeque
Pinewood Social,4.1,2.0,2215,Nashville,Social Clubs
Acme Feed & Seed,3.9,2.0,1946,Nashville,Bars
Adele's - Nashville,4.0,2.0,1180,Nashville,New American
Henrietta Red,4.3,3.0,545,Nashville,New American
Blanco Cocina + Cantina,4.5,2.0,334,Nashville,Cocktail Bars
Oak Steakhouse,4.4,4.0,431,Nashville,Steakhouses
Barcelona Wine Bar,4.5,3.0,754,Nashville,Tapas Bars
The Farm House,4.1,2.0,939,Nashville,Southern
The Row,3.9,2.0,1746,Nashville,Southern
The Mockingbird Nashville,4.2,2.0,689,Nashville,New American
The Catbird Seat,4.6,4.0,472,Nashville,New American
Bakersfield Nashville,4.5,2.0,1427,Nashville,Tacos
Kayne Prime,4.2,4.0,1228,Nashville,Steakhouses
The Standard At The Smith House,4.3,3.0,368,Nashville,American
Deacon's New South,4.1,3.0,343,Nashville,Steakhouses
Butchertown Hall,3.8,2.0,919,Nashville,Gastropubs
The Chef and I,4.4,4.0,598,Nashville,Tapas Bars
Germantown Cafe,4.1,2.0,801,Nashville,New American
House of Cards,3.8,4.0,505,Nashville,American
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,2.0,814,Nashville,Chicken Shop
DeSano Pizza Bakery,4.3,2.0,1159,Nashville,Pizza
Eddie V's Prime Seafood,4.5,3.0,332,Nashville,Seafood
Bastion,4.5,2.0,252,Nashville,Cocktail Bars
Frothy Monkey,3.9,2.0,1260,Nashville,Coffee & Tea
Butcher & Bee,4.1,2.0,1111,Nashville,New American
The Pharmacy,4.1,2.0,3533,Nashville,Burgers
Sambuca,3.8,2.0,802,Nashville,Bars
Biscuit Love: Gulch,4.2,2.0,5004,Nashville,Southern
El Azteca Mexican Restaurant,3.4,1.0,21,Portland,Mexican
Senor Fajitas,4.0,1.0,42,Portland,Mexican
5 Chefs,3.7,2.0,44,Portland,New American
The Barbecue Pit,4.2,1.0,24,Portland,Barbeque
My Time Cafe,3.2,1.0,9,Portland,Cafes
Bento Japanese Express,3.8,1.0,30,Portland,Sushi Bars
Mr Wok,3.2,1.0,32,Portland,Chinese
Cousins Maine Lobster - Nashville,3.7,2.0,190,Portland,Food Trucks
Pizza Hut,2.7,1.0,19,Portland,Pizza
Arby's,2.9,1.0,8,Portland,Fast Food
Little Caesars,1.8,1.0,10,Portland,Pizza
Burger King,3.4,1.0,7,Portland,Fast Food
McDonald's,1.4,1.0,23,Portland,Fast Food
Sonic Drive-In,1.8,1.0,12,Portland,Burgers
Sol Azteca Franklin,3.9,1.0,39,Portland,Mexican
Brewster's Bar & Grille,3.0,1.0,23,Portland,New American
Subway,2.2,1.0,5,Portland,Sandwiches
Sol Azteca,3.8,1.0,17,Portland,Mexican
Domino's Pizza,2.3,1.0,11,Portland,Pizza
Cracker Barrel Old Country Store,2.8,2.0,54,Portland,Breakfast & Brunch
Waffle House - Franklin,3.6,1.0,20,Portland,Diners
Dairy Queen Grill & Chill,2.2,1.0,5,Portland,Fast Food
Denny's,2.4,1.0,35,Portland,Diners
Papa Johns Pizza,2.2,1.0,6,Portland,Pizza
GRAY'S On Main,3.7,2.0,683,Franklin,Bars
Red Pony,4.4,3.0,551,Franklin,American
Cork & Cow,4.3,3.0,323,Franklin,Steakhouses
55 South - Franklin,4.2,2.0,760,Franklin,Southern
O' Be Joyful,4.1,2.0,119,Franklin,Burgers
Puckett's Grocery & Restaurant,4.2,2.0,1119,Franklin,Barbeque
Culaccino,4.2,3.0,272,Franklin,Italian
JJ's Wine Bar,4.0,2.0,154,Franklin,Wine Bars
McCreary's Irish Pub and Eatery,3.9,2.0,200,Franklin,Irish Pub
Serrato's Steakhouse,4.6,2.0,190,Franklin,Steakhouses
Franklin Chop House,3.9,2.0,182,Franklin,New American
Pueblo Real Mexican Restaurant - Franklin,4.3,2.0,367,Franklin,Bars
Mojo's Tacos,4.1,2.0,383,Franklin,Tacos
Mellow Mushroom Franklin,3.5,2.0,359,Franklin,Pizza
Quinn's Neighbourhood Pub and Eatery,4.0,2.0,271,Franklin,Pizza
Chrysalis,4.5,2.0,368,Franklin,Italian
BrickTop's,4.0,2.0,328,Franklin,New American
Biscuit Love - Franklin,4.0,2.0,574,Franklin,Breakfast & Brunch
Ruby Sunshine,4.0,2.0,534,Franklin,Breakfast & Brunch
Merridee's Breadbasket,4.1,2.0,432,Franklin,Bakeries
Ground Restaurant,4.3,2.0,157,Franklin,Burgers
Brixx Wood Fired Pizza + Craft Bar,4.0,2.0,271,Franklin,Pizza
Tupelo Honey Southern Kitchen & Bar,4.0,2.0,1247,Franklin,Southern
Sal's Family Pizza,3.8,2.0,212,Franklin,Pizza
Pasta and Cream,4.6,2.0,378,Franklin,Italian
North Italia- Franklin,4.1,2.0,241,Franklin,Italian
Koi Sushi & Thai,4.0,2.0,219,Franklin,Asian Fusion
Zolo's Italian Restaurant,3.3,2.0,155,Franklin,Italian
Sperry's Restaurant,4.1,3.0,406,Franklin,Steakhouses
