Name,Category
The Stillery,New American
Puckett's Restaurant - Nashville,American
Sixty Vines,New American
etch,New American
The Twelve Thirty Club,Cocktail Bars
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings
5th & Taylor,New American
Bourbon Steak by Michael Mina,Steakhouses
Skull's Rainbow Room,Cocktail Bars
The Hampton Social - Nashville,New American
Husk,Southern
Peg Leg Porker,Barbeque
Milk and Honey Nashville,New American
Rolf and Daughters,New American
The Southern Steak & Oyster,Southern
Pinewood Social,Social Clubs
The Optimist - Nashville,Seafood
Martin's Bar-B-Que Joint,Barbeque
Jeff Ruby's Steakhouse- Nashville,Seafood
Adele's - Nashville,New American
Acme Feed & Seed,Bars
Hawkers Asian Street Food,Tapas/Small Plates
Stateside Kitchen,New American
Henrietta Red,New American
Oak Steakhouse,Steakhouses
Blanco Cocina + Cantina,Cocktail Bars
The Catbird Seat,New American
Kayne Prime,Steakhouses
The Mockingbird Nashville,New American
Deacon's New South,Steakhouses
Barcelona Wine Bar,Tapas Bars
Butchertown Hall,Gastropubs
The Row,Southern
The Farm House,Southern
The Chef and I,Tapas Bars
The Standard At The Smith House,American
Germantown Cafe,New American
House of Cards,American
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop
Bakersfield Nashville,Tacos
DeSano Pizza Bakery,Pizza
Eddie V's Prime Seafood,Seafood
Bastion,Cocktail Bars
Hand Cut Chophouse,Steakhouses
Butcher & Bee,New American
Gray & Dudley,New American
Sambuca,Bars
The Pharmacy,Burgers
Trattoria Il Mulino,Italian
Sedona Taphouse,New American
