Name,Category
Milo Cafe,Cafes
El Azteca Mexican Restaurant,Mexican
Senor Fajitas,Mexican
Tacos Mi Jalisco,Mexican
Portland Pizza & Pub,Pizza
5 Chefs,New American
The Barbecue Pit,Barbeque
My Time Cafe,Cafes
Bento Japanese Express,Sushi Bars
Mr Wok,Chinese
Colorado Grill,Steakhouses
Milli’s Taqueria,Mexican
International Tea and Coffee,Coffee & Tea
Cousins Maine Lobster - Nashville,Food Trucks
Pizza Hut,Pizza
Arby's,Fast Food
Little Caesars,Pizza
Burger King,Fast Food
McDonald's,Fast Food
Sol Azteca Franklin,Mexican
Neon Kitchen,Italian
Delaney's Street Eats,Food Trucks
Sonic Drive-In,Burgers
Brewster's Bar & Grille,New American
Johnson's Crossroads Cafe & Market,Restaurants
Sol Azteca,Mexican
Franklin Steakhouse,Steakhouses
Hardee's,Fast Food
Subway,Sandwiches
Subway,Sandwiches
Domino's Pizza,Pizza
Waffle House - Franklin,Diners
Pupuseria Josellin,Mexican
Vansauwa's Tacos,Food Trucks
Dairy Queen Grill & Chill,Fast Food
Denny's,Diners
Papa Johns Pizza,Pizza
Cracker Barrel Old Country Store,Breakfast & Brunch
Burger King,Burgers
McDonald's,Fast Food
Jims Barbeque,Barbeque
Quiznos,Sandwiches
Cantrell’s Grill,Food Trucks
