Name,Rating,Pricing,Number of Reviews
Milo Cafe,4.7,N/A,29
El Azteca Mexican Restaurant,3.4,1,21
Senor Fajitas,4.0,1,42
Tacos Mi Jalisco,4.8,N/A,17
Portland Pizza & Pub,4.3,N/A,26
5 Chefs,3.7,2,44
The Barbecue Pit,4.2,1,24
My Time Cafe,3.2,1,9
Bento Japanese Express,3.8,1,30
Mr Wok,3.2,1,32
Colorado Grill,4.1,N/A,45
Milli’s Taqueria,5.0,N/A,6
International Tea and Coffee,4.5,N/A,2
Cousins Maine Lobster - Nashville,3.7,2,190
Pizza Hut,2.7,1,19
Arby's,2.9,1,8
Little Caesars,1.8,1,10
Burger King,3.4,1,7
McDonald's,1.4,1,23
Sol Azteca Franklin,3.9,1,39
Neon Kitchen,3.1,N/A,8
Delaney's Street Eats,4.5,N/A,2
Sonic Drive-In,1.8,1,12
Brewster's Bar & Grille,3.0,1,23
Johnson's Crossroads Cafe & Market,4.4,N/A,18
Sol Azteca,3.8,1,17
Franklin Steakhouse,3.7,N/A,24
Hardee's,3.2,N/A,5
Subway,2.2,1,5
Subway,5.0,1,2
Domino's Pizza,2.3,1,11
Waffle House - Franklin,3.6,1,20
Pupuseria Josellin,5.0,N/A,1
Vansauwa's Tacos,4.8,N/A,5
Dairy Queen Grill & Chill,2.2,1,5
Denny's,2.4,1,35
Papa Johns Pizza,2.2,1,6
Cracker Barrel Old Country Store,2.8,2,54
Burger King,3.2,1,11
McDonald's,1.6,1,32
Jims Barbeque,5.0,N/A,1
Quiznos,1.2,N/A,6
Cantrell’s Grill,1.0,N/A,1
