Name,Category,Pricing
Cork & Cow,Steakhouses,N/A
GRAY'S On Main,Bars,N/A
Red Pony,American,N/A
O' Be Joyful,Burgers,N/A
Puckett's Grocery & Restaurant,Barbeque,N/A
Culaccino,Italian,N/A
55 South - Franklin,Southern,N/A
Serrato's Steakhouse,Steakhouses,N/A
Frothy Monkey,Coffee & Tea,N/A
Pueblo Real Mexican Restaurant - Franklin,Bars,N/A
Mellow Mushroom Franklin,Pizza,N/A
Quinn's Neighbourhood Pub and Eatery,Pizza,N/A
McCreary's Irish Pub and Eatery,Irish Pub,N/A
BrickTop's,New American,N/A
Biscuit Love - Franklin,Breakfast & Brunch,N/A
Merridee's Breadbasket,Bakeries,N/A
Ruby Sunshine,Breakfast & Brunch,N/A
JJ's Wine Bar,Wine Bars,N/A
Mojo's Tacos,Tacos,N/A
1799 Kitchen & Cocktails,New American,N/A
Brixx Wood Fired Pizza + Craft Bar,Pizza,N/A
Franklin Chop House,New American,N/A
Chrysalis,Italian,N/A
Hop House Tennessee Taps,Beer Bar,N/A
Ground Restaurant,Burgers,N/A
Tupelo Honey Southern Kitchen & Bar,Southern,N/A
Sal's Family Pizza,Pizza,N/A
North Italia- Franklin,Italian,N/A
Koi Sushi & Thai,Asian Fusion,N/A
The White Alligator,Seafood,N/A
Pasta and Cream,Italian,N/A
Sperry's Restaurant,Steakhouses,N/A
Zolo's Italian Restaurant,Italian,N/A
Franklin Mercantile Deli,Delis,N/A
Hattie B's Hot Chicken - Franklin,Chicken Shop,N/A
J. Alexander's,New American,N/A
Garcia's,Mexican,N/A
The Coffee House at Second and Bridge,Coffee & Tea,N/A
Taziki's Mediterranean Cafe - Franklin,Mediterranean,N/A
Stoney River,Steakhouses,N/A
Perry's Steakhouse & Grille - Cool Springs,Steakhouses,N/A
Pita Way - Cool Springs,Mediterranean,N/A
Big Shake's Hot Chicken & Fish,Chicken Shop,N/A
Hogwood BBQ,Barbeque,N/A
Connors Steak & Seafood,Seafood,N/A
Sopapilla's,Mexican,N/A
Bestia Mare,Italian,N/A
Party Fowl - Cool Springs,Southern,N/A
Mi Kitchen,Tapas Bars,N/A
The Bunganut Pig Bar & Restaurant,Pubs,N/A
