Name,Rating,Pricing,Number of Reviews
Cork & Cow,4.3,N/A,323
GRAY'S On Main,3.7,N/A,683
Red Pony,4.4,N/A,552
O' Be Joyful,4.1,N/A,119
Puckett's Grocery & Restaurant,4.2,N/A,1119
Culaccino,4.2,N/A,273
55 South - Franklin,4.2,N/A,760
Serrato's Steakhouse,4.6,N/A,190
Frothy Monkey,4.0,N/A,552
Pueblo Real Mexican Restaurant - Franklin,4.3,N/A,367
Mellow Mushroom Franklin,3.5,N/A,359
Quinn's Neighbourhood Pub and Eatery,4.0,N/A,271
McCreary's Irish Pub and Eatery,3.9,N/A,200
BrickTop's,4.0,N/A,328
Biscuit Love - Franklin,4.0,N/A,574
Merridee's Breadbasket,4.1,N/A,433
Ruby Sunshine,4.0,N/A,534
JJ's Wine Bar,4.0,N/A,154
Mojo's Tacos,4.1,N/A,384
1799 Kitchen & Cocktails,3.7,N/A,80
Brixx Wood Fired Pizza + Craft Bar,4.0,N/A,271
Franklin Chop House,3.9,N/A,182
Chrysalis,4.5,N/A,370
Hop House Tennessee Taps,4.5,N/A,64
Ground Restaurant,4.3,N/A,157
Tupelo Honey Southern Kitchen & Bar,4.0,N/A,1248
Sal's Family Pizza,3.9,N/A,214
North Italia- Franklin,4.1,N/A,243
Koi Sushi & Thai,4.0,N/A,220
The White Alligator,4.5,N/A,42
Pasta and Cream,4.6,N/A,378
Sperry's Restaurant,4.1,N/A,406
Zolo's Italian Restaurant,3.3,N/A,155
Franklin Mercantile Deli,3.7,N/A,147
Hattie B's Hot Chicken - Franklin,4.4,N/A,31
J. Alexander's,4.0,N/A,400
Garcia's,3.9,N/A,199
The Coffee House at Second and Bridge,4.2,N/A,207
Taziki's Mediterranean Cafe - Franklin,4.1,N/A,105
Stoney River,4.0,N/A,345
Perry's Steakhouse & Grille - Cool Springs,3.8,N/A,259
Pita Way - Cool Springs,4.8,N/A,121
Big Shake's Hot Chicken & Fish,4.0,N/A,503
Hogwood BBQ,4.3,N/A,454
Connors Steak & Seafood,3.9,N/A,377
Sopapilla's,3.9,N/A,800
Bestia Mare,3.9,N/A,34
Party Fowl - Cool Springs,4.1,N/A,385
Mi Kitchen,4.8,N/A,138
The Bunganut Pig Bar & Restaurant,3.3,N/A,181
