Name,Category,Pricing
Milo Cafe,Cafes,N/A
El Azteca Mexican Restaurant,Mexican,1
Portland Pizza & Pub,Pizza,N/A
Senor Fajitas,Mexican,1
Tacos Mi Jalisco,Mexican,N/A
5 Chefs,New American,2
The Barbecue Pit,Barbeque,1
My Time Cafe,Cafes,1
Bento Japanese Express,Sushi Bars,1
Mr Wok,Chinese,1
Colorado Grill,Steakhouses,N/A
Milli’s Taqueria,Mexican,N/A
International Tea and Coffee,Coffee & Tea,N/A
Cousins Maine Lobster - Nashville,Food Trucks,2
Pizza Hut,Pizza,1
Arby's,Fast Food,1
Little Caesars,Pizza,1
Burger King,Fast Food,1
McDonald's,Fast Food,1
Sonic Drive-In,Burgers,1
Neon Kitchen,Italian,N/A
Delaney's Street Eats,Food Trucks,N/A
Sol Azteca Franklin,Mexican,1
Brewster's Bar & Grille,New American,1
Johnson's Crossroads Cafe & Market,Restaurants,N/A
Subway,Sandwiches,1
Subway,Sandwiches,1
Sol Azteca,Mexican,1
Hardee's,Fast Food,N/A
Franklin Steakhouse,Steakhouses,N/A
Domino's Pizza,Pizza,1
Cracker Barrel Old Country Store,Breakfast & Brunch,2
Waffle House - Franklin,Diners,1
Pupuseria Josellin,Mexican,N/A
Dairy Queen Grill & Chill,Fast Food,1
Vansauwa's Tacos,Food Trucks,N/A
Denny's,Diners,1
Papa Johns Pizza,Pizza,1
Burger King,Burgers,1
McDonald's,Fast Food,1
Jims Barbeque,Barbeque,N/A
Quiznos,Sandwiches,N/A
Cantrell’s Grill,Food Trucks,N/A
