Name,Rating,Pricing,Number of Reviews
Milo Cafe,4.7,N/A,29
El Azteca Mexican Restaurant,3.4,N/A,21
Portland Pizza & Pub,4.3,N/A,28
Senor Fajitas,4.0,N/A,42
Tacos Mi Jalisco,4.8,N/A,17
5 Chefs,3.7,N/A,44
The Barbecue Pit,4.2,N/A,24
Bento Japanese Express,3.8,N/A,30
Colorado Grill,4.1,N/A,45
My Time Cafe,3.2,N/A,9
Mr Wok,3.2,N/A,32
Milli’s Taqueria,5.0,N/A,6
International Tea and Coffee,4.5,N/A,2
Pizza Hut,2.7,N/A,19
Cousins Maine Lobster - Nashville,3.7,N/A,190
Arby's,2.9,N/A,8
Burger King,3.4,N/A,7
Little Caesars,1.8,N/A,10
Sonic Drive-In,1.8,N/A,12
McDonald's,1.4,N/A,23
Neon Kitchen,3.1,N/A,8
Sol Azteca Franklin,3.9,N/A,39
Delaney's Street Eats,4.5,N/A,2
Brewster's Bar & Grille,3.1,N/A,22
Johnson's Crossroads Cafe & Market,4.5,N/A,19
Domino's Pizza,2.3,N/A,11
Subway,2.2,N/A,5
Subway,5.0,N/A,2
Sol Azteca,3.8,N/A,17
Hardee's,3.2,N/A,5
Franklin Steakhouse,3.7,N/A,24
Waffle House - Franklin,3.6,N/A,20
Pupuseria Josellin,5.0,N/A,1
Vansauwa's Tacos,4.8,N/A,5
Cracker Barrel Old Country Store,2.8,N/A,54
Papa Johns Pizza,2.2,N/A,6
Dairy Queen Grill & Chill,2.2,N/A,5
Denny's,2.4,N/A,35
Burger King,3.2,N/A,11
McDonald's,1.6,N/A,32
Jims Barbeque,5.0,N/A,1
Quiznos,1.2,N/A,6
Cantrell’s Grill,1.0,N/A,1
