Name,Category
The Stillery,New American
Puckett's Restaurant - Nashville,American
The Twelve Thirty Club,Cocktail Bars
Sixty Vines,New American
etch,New American
Bourbon Steak by Michael Mina,Steakhouses
Skull's Rainbow Room,Cocktail Bars
The Hampton Social - Nashville,New American
Martin's Bar-B-Que Joint,Barbeque
Acme Feed & Seed,Bars
The Southern Steak & Oyster,Southern
Husk,Southern
Stateside Kitchen,New American
Milk and Honey Nashville,New American
Blanco Cocina + Cantina,Cocktail Bars
Adele's - Nashville,New American
Jeff Ruby's Steakhouse- Nashville,Seafood
Hattie B’s Hot Chicken - Nashville - Midtown,Chicken Wings
The Mockingbird Nashville,New American
Oak Steakhouse,Steakhouses
The Farm House,Southern
Pinewood Social,Social Clubs
Hattie B’s Hot Chicken - Nashville - Lower Broadway,Chicken Shop
Peg Leg Porker,Barbeque
Saint Anejo,Cocktail Bars
Bakersfield Nashville,Tacos
Kayne Prime,Steakhouses
House of Cards,American
Eddie V's Prime Seafood,Seafood
Gray & Dudley,New American
Boqueria Fifth + Broadway,Spanish
Trattoria Il Mulino,Italian
Makeready L&L,Wine Bars
Deacon's New South,Steakhouses
Hand Cut Chophouse,Steakhouses
The Optimist - Nashville,Seafood
Henrietta Red,New American
Miranda Lambert's Casa Rosa,Mexican
Moto Cucina + Enoteca,Italian
5th & Taylor,New American
The Standard At The Smith House,American
Chauhan Ale & Masala House,Indian
Ellington's Restaurant,Cocktail Bars
Carne Mare,Steakhouses
Black Rabbit,Tapas/Small Plates
Sambuca,Bars
Rolf and Daughters,New American
Barcelona Wine Bar,Tapas Bars
DeSano Pizza Bakery,Pizza
Sedona Taphouse,New American
