Name,Rating,Pricing,Number of Reviews
The Stillery,4.4,2,3424
Sixty Vines,4.5,2,944
The Twelve Thirty Club,4.3,N/A,789
Puckett's Restaurant - Nashville,3.9,2,3290
etch,4.5,3,1699
Skull's Rainbow Room,4.5,3,1331
Bourbon Steak by Michael Mina,4.5,4,765
The Hampton Social - Nashville,4.3,2,1472
Martin's Bar-B-Que Joint,4.1,2,3014
The Southern Steak & Oyster,4.1,3,2544
Acme Feed & Seed,3.9,2,1946
Jeff Ruby's Steakhouse- Nashville,4.5,4,652
Blanco Cocina + Cantina,4.5,2,334
Peg Leg Porker,4.3,2,3491
Husk,4.0,3,1816
Adele's - Nashville,4.0,2,1180
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,2,7284
The Farm House,4.1,2,939
5th & Taylor,4.4,3,1388
Stateside Kitchen,4.1,N/A,323
Bakersfield Nashville,4.5,2,1427
Milk and Honey Nashville,4.2,2,2719
The Mockingbird Nashville,4.2,2,689
Oak Steakhouse,4.4,4,431
Henrietta Red,4.3,3,545
Pinewood Social,4.1,2,2214
Deacon's New South,4.1,3,343
Saint Anejo,3.8,2,998
The Standard At The Smith House,4.3,3,368
Eddie V's Prime Seafood,4.5,3,332
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,2,814
House of Cards,3.8,4,505
Ellington's Restaurant,3.9,3,146
Trattoria Il Mulino,3.9,3,454
The Optimist - Nashville,4.5,3,389
Kayne Prime,4.2,4,1228
Boqueria Fifth + Broadway,3.9,2,176
Miranda Lambert's Casa Rosa,3.9,2,460
Chauhan Ale & Masala House,4.2,2,1343
Hand Cut Chophouse,4.0,N/A,105
Moto Cucina + Enoteca,4.1,3,500
Luogo,4.4,3,236
Black Rabbit,4.1,2,245
Rolf and Daughters,4.3,3,1018
Gray & Dudley,4.1,3,221
Superica,4.4,2,300
Sedona Taphouse,4.4,2,468
Germantown Cafe,4.1,2,801
Blue Sushi Sake Grill,4.0,2,168
Makeready L&L,4.2,2,263
